	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	median_label	non_nan_count
0	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
1	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0	3.0		4.0			4.0	3
2	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	afternoon	dwug_en		4.0	4.0				4.0	2
3	fic_1825_7041.txt-1647-2	fic_1850_2310.txt-1321-9	afternoon	dwug_en	3.0					4.0	3.5	2
5	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	afternoon	dwug_en		4.0		4.0			4.0	2
6	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	afternoon	dwug_en	4.0	4.0					4.0	2
7	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	afternoon	dwug_en		4.0	4.0				4.0	2
8	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	afternoon	dwug_en		4.0	4.0				4.0	2
10	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0					4.0	4.0	2
11	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	afternoon	dwug_en	4.0		4.0				4.0	2
12	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	afternoon	dwug_en		4.0	4.0				4.0	2
14	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	afternoon	dwug_en	4.0		4.0				4.0	2
20	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	afternoon	dwug_en	4.0	2.0					3.0	2
22	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	afternoon	dwug_en	4.0		4.0				4.0	2
23	fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	afternoon	dwug_en	4.0			4.0			4.0	2
24	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
25	fic_1834_7323.txt-604-27	fic_1850_2310.txt-1321-9	afternoon	dwug_en			4.0	4.0			4.0	2
29	fic_1835_7272.txt-2343-15	fic_1852_9832.txt-757-5	afternoon	dwug_en		4.0	4.0				4.0	2
30	fic_1835_7353.txt-1190-8	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0			4.0	2
34	fic_1839_7352.txt-2123-7	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0	3.0	3.0				3.0	3
35	fic_1839_8698.txt-603-9	fic_1854_5388.txt-1142-35	afternoon	dwug_en		4.0		4.0			4.0	2
37	fic_1842_7206.txt-3926-5	fic_1845_7170.txt-9891-50	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
40	fic_1843_7325.txt-1640-7	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0			4.0			4.0	2
41	fic_1844_7135.txt-185-2	fic_1988_10770.txt-925-3	afternoon	dwug_en			4.0	4.0			4.0	2
42	fic_1844_7148.txt-178-16	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0			4.0	2
44	fic_1845_7103.txt-562-47	fic_1852_9832.txt-757-5	afternoon	dwug_en		4.0	4.0				4.0	2
45	fic_1845_7170.txt-10380-7	fic_1971_14051.txt-667-2	afternoon	dwug_en			4.0	4.0			4.0	2
46	fic_1845_7170.txt-9891-50	nf_1857_753133.txt-1759-5	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
48	fic_1846_200.txt-3364-3	fic_2007_34112.txt-95-13	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
49	fic_1846_7036.txt-2381-16	fic_1855_9098.txt-10134-2	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
50	fic_1846_7036.txt-2381-16	fic_1971_782005.txt-463-14	afternoon	dwug_en	4.0	4.0	4.0	4.0			4.0	4
51	fic_1846_7036.txt-2381-16	fic_1982_16205.txt-2111-8	afternoon	dwug_en		3.0		4.0			3.5	2
53	fic_1846_7036.txt-2381-16	fic_1989_782038.txt-2490-5	afternoon	dwug_en		4.0		4.0			4.0	2
54	fic_1846_7036.txt-2381-16	fic_1997_54614.txt-159-18	afternoon	dwug_en	3.0			4.0			3.5	2
56	fic_1846_7036.txt-2381-16	mag_1855_556005.txt-194-2	afternoon	dwug_en				4.0		4.0	4.0	2
59	fic_1847_1094.txt-4528-4	mag_1855_556005.txt-194-2	afternoon	dwug_en			2.0	4.0			3.0	2
60	fic_1848_7193.txt-3809-25	fic_1852_9832.txt-757-5	afternoon	dwug_en	3.0			4.0			3.5	2
61	fic_1848_7193.txt-9645-37	fic_1852_9832.txt-757-5	afternoon	dwug_en		3.0	4.0				3.5	2
63	fic_1849_2605.txt-1007-13	fic_1851_3300.txt-1083-18	afternoon	dwug_en			4.0	4.0			4.0	2
64	fic_1849_5295.txt-962-22	fic_1851_3300.txt-1083-18	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
65	fic_1849_7167.txt-1658-7	fic_1967_10491.txt-4998-1	afternoon	dwug_en	4.0	4.0					4.0	2
68	fic_1849_7218.txt-2032-3	fic_1997_54614.txt-159-18	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
70	fic_1849_7218.txt-3369-36	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0	4.0	4.0				4.0	3
72	fic_1850_2310.txt-1321-9	fic_1970_10525.txt-2314-16	afternoon	dwug_en			4.0	4.0			4.0	2
73	fic_1850_2310.txt-1321-9	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0			4.0		4.0	4.0	3
74	fic_1850_2310.txt-1321-9	fic_1987_780057.txt-318-5	afternoon	dwug_en	4.0			4.0			4.0	2
77	fic_1850_2310.txt-1321-9	fic_1998_43428.txt-168-2	afternoon	dwug_en	4.0	4.0	4.0	4.0			4.0	4
79	fic_1850_2310.txt-1321-9	fic_2008_36241.txt-90-1	afternoon	dwug_en	3.0					4.0	3.5	2
80	fic_1850_2310.txt-1321-9	fic_2009_36384.txt-41-7	afternoon	dwug_en		3.0	4.0				3.5	2
83	fic_1850_2310.txt-1321-9	news_1970_729010.txt-127-17	afternoon	dwug_en	4.0	4.0	4.0				4.0	3
84	fic_1850_2310.txt-1321-9	news_1998_653815.txt-37-5	afternoon	dwug_en		3.0		4.0			3.5	2
86	fic_1850_2310.txt-1321-9	nf_1834_755185.txt-2925-9	afternoon	dwug_en	3.0			4.0			3.5	2
88	fic_1850_7171.txt-326-12	fic_1854_5388.txt-1142-35	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
89	fic_1851_3300.txt-1083-18	fic_1852_593.txt-3856-10	afternoon	dwug_en		4.0		4.0			4.0	2
90	fic_1851_3300.txt-1083-18	fic_1854_5388.txt-1142-35	afternoon	dwug_en	4.0			4.0		4.0	4.0	3
95	fic_1851_3300.txt-1083-18	fic_1993_1040090.txt-2612-8	afternoon	dwug_en	4.0	4.0					4.0	2
96	fic_1851_3300.txt-1083-18	fic_1993_25029.txt-3169-3	afternoon	dwug_en			4.0	4.0			4.0	2
99	fic_1851_3300.txt-1083-18	mag_1855_556005.txt-194-2	afternoon	dwug_en				4.0		4.0	4.0	2
100	fic_1851_3300.txt-1083-18	nf_1834_755185.txt-2925-9	afternoon	dwug_en	4.0			4.0		4.0	4.0	3
105	fic_1852_69.txt-6782-7	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0	4.0					4.0	2
106	fic_1852_9232.txt-4688-51	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0			4.0			4.0	2
107	fic_1852_9832.txt-2197-8	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0			4.0			4.0	2
108	fic_1852_9832.txt-3009-7	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0	4.0					4.0	2
110	fic_1852_9832.txt-757-5	fic_1854_5388.txt-1142-35	afternoon	dwug_en	4.0			4.0			4.0	2
111	fic_1852_9832.txt-757-5	fic_1969_10520.txt-3371-43	afternoon	dwug_en		3.0		4.0			3.5	2
112	fic_1852_9832.txt-757-5	fic_1973_10570.txt-2425-28	afternoon	dwug_en		4.0		4.0			4.0	2
113	fic_1852_9832.txt-757-5	fic_1976_23909.txt-198-3	afternoon	dwug_en	4.0	4.0	4.0	4.0			4.0	4
117	fic_1852_9832.txt-757-5	fic_2001_29742.txt-130-10	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
118	fic_1852_9832.txt-757-5	fic_2008_36241.txt-90-1	afternoon	dwug_en				4.0		4.0	4.0	2
120	fic_1852_9832.txt-757-5	mag_1996_424983.txt-549-1	afternoon	dwug_en		4.0	4.0				4.0	2
123	fic_1852_9832.txt-757-5	nf_1857_753133.txt-1759-5	afternoon	dwug_en	4.0			4.0	3.0		4.0	3
124	fic_1852_9832.txt-757-5	nf_2006_776561.txt-30-8	afternoon	dwug_en	3.0			4.0		4.0	4.0	3
125	fic_1853_4303.txt-2902-31	fic_1853_7732.txt-4-29	afternoon	dwug_en			4.0	4.0			4.0	2
130	fic_1854_5388.txt-1142-35	fic_1855_2965.txt-1882-18	afternoon	dwug_en	4.0		4.0				4.0	2
131	fic_1854_5388.txt-1142-35	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0					4.0	4.0	2
135	fic_1854_5388.txt-1142-35	fic_2006_31500.txt-95-14	afternoon	dwug_en	4.0	3.0					3.5	2
136	fic_1854_5388.txt-1142-35	fic_2007_34112.txt-95-13	afternoon	dwug_en	3.0				3.0		3.0	2
138	fic_1854_5388.txt-1142-35	news_1992_605805.txt-59-34	afternoon	dwug_en	4.0	4.0	4.0				4.0	3
139	fic_1854_5388.txt-1142-35	nf_1834_755185.txt-2925-9	afternoon	dwug_en	3.0				4.0		3.5	2
142	fic_1855_2965.txt-1490-13	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0			4.0	2
144	fic_1857_3100.txt-1597-1	nf_2006_776561.txt-30-8	afternoon	dwug_en			4.0	4.0			4.0	2
145	fic_1858_9768.txt-412-5	fic_2008_36241.txt-90-1	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
146	fic_1858_9768.txt-412-5	mag_1850_565942.txt-396-5	afternoon	dwug_en	4.0	4.0					4.0	2
148	fic_1860_616.txt-3119-6	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0	3.0					3.5	2
150	fic_1860_9817.txt-1654-35	fic_1992_40272.txt-627-18	afternoon	dwug_en	4.0	3.0	4.0				4.0	3
151	fic_1960_10402.txt-8830-8	mag_1980_491790.txt-342-2	afternoon	dwug_en	4.0			4.0			4.0	2
152	fic_1962_14199.txt-2624-7	fic_2008_36241.txt-90-1	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
153	fic_1962_23789.txt-370-2	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0			4.0			4.0	2
154	fic_1964_781988.txt-1664-7	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0			4.0			4.0	2
155	fic_1965_10467.txt-3637-5	nf_1857_753133.txt-1759-5	afternoon	dwug_en	4.0		4.0				4.0	2
157	fic_1966_781993.txt-4419-9	nf_1834_755185.txt-2925-9	afternoon	dwug_en	4.0	4.0					4.0	2
164	fic_1971_14051.txt-667-2	mag_1854_555969.txt-139-11	afternoon	dwug_en	4.0		4.0				4.0	2
167	fic_1971_14051.txt-667-2	mag_1997_428407.txt-43-45	afternoon	dwug_en		3.0	4.0	4.0			4.0	3
168	fic_1971_14051.txt-667-2	nf_1834_755185.txt-2925-9	afternoon	dwug_en				4.0	4.0		4.0	2
169	fic_1971_14051.txt-667-2	nf_1849_762578.txt-1803-0	afternoon	dwug_en	4.0			4.0			4.0	2
170	fic_1971_23878.txt-100-32	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0		4.0				4.0	2
171	fic_1971_782009.txt-2373-20	fic_2007_34112.txt-95-13	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
173	fic_1974_782013.txt-1545-5	mag_1980_491790.txt-342-2	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
174	fic_1976_23910.txt-121-6	nf_1834_755185.txt-2925-9	afternoon	dwug_en	4.0			4.0			4.0	2
175	fic_1977_780102.txt-1079-6	fic_1992_40272.txt-627-18	afternoon	dwug_en	3.0		4.0	4.0			4.0	3
176	fic_1980_780048.txt-1170-3	nf_2006_776561.txt-30-8	afternoon	dwug_en		4.0	4.0	4.0			4.0	3
177	fic_1983_782026.txt-2184-5	fic_1987_780057.txt-318-5	afternoon	dwug_en		3.0	4.0				3.5	2
178	fic_1984_14628.txt-868-5	fic_1992_40272.txt-627-18	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
179	fic_1986_782031.txt-439-25	nf_1834_755185.txt-2925-9	afternoon	dwug_en	4.0			4.0			4.0	2
181	fic_1987_780057.txt-318-5	fic_1992_40272.txt-627-18	afternoon	dwug_en					4.0	4.0	4.0	2
185	fic_1987_780057.txt-318-5	news_1968_727538.txt-57-7	afternoon	dwug_en			4.0	4.0			4.0	2
187	fic_1987_780057.txt-318-5	nf_1849_762578.txt-1803-0	afternoon	dwug_en				4.0		4.0	4.0	2
189	fic_1987_780057.txt-318-5	nf_2008_774723.txt-0-8	afternoon	dwug_en	4.0	4.0					4.0	2
190	fic_1987_780058.txt-2587-3	mag_1980_491790.txt-342-2	afternoon	dwug_en	4.0			4.0			4.0	2
191	fic_1988_10770.txt-925-3	fic_1992_40272.txt-627-18	afternoon	dwug_en				4.0		4.0	4.0	2
192	fic_1988_10770.txt-925-3	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0					4.0	4.0	2
193	fic_1988_10770.txt-925-3	mag_1968_490661.txt-153-13	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
194	fic_1988_10770.txt-925-3	mag_1968_490662.txt-89-5	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
198	fic_1992_40272.txt-627-18	fic_2006_51045.txt-778-3	afternoon	dwug_en	4.0			4.0			4.0	2
200	fic_1992_40272.txt-627-18	nf_1849_762578.txt-1803-0	afternoon	dwug_en	3.0			4.0			3.5	2
201	fic_1993_1040092.txt-5145-7	mag_1855_556005.txt-194-2	afternoon	dwug_en			2.0	4.0			3.0	2
202	fic_1993_25005.txt-782-34	mag_1984_432163.txt-74-2	afternoon	dwug_en	4.0	4.0					4.0	2
203	fic_1993_25029.txt-2315-14	mag_1980_491790.txt-342-2	afternoon	dwug_en		4.0		4.0			4.0	2
204	fic_1993_53896.txt-67-8	mag_1980_491790.txt-342-2	afternoon	dwug_en	4.0	4.0	4.0				4.0	3
205	fic_1997_54614.txt-159-18	fic_1999_44564.txt-215-2	afternoon	dwug_en	4.0	3.0	4.0				4.0	3
206	fic_1997_54614.txt-159-18	fic_2000_28733.txt-1-8	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
208	fic_1997_54614.txt-159-18	mag_1848_565759.txt-119-14	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
209	fic_1997_54614.txt-159-18	mag_1983_326806.txt-11-8	afternoon	dwug_en	4.0			4.0			4.0	2
212	fic_1997_54614.txt-159-18	nf_2005_775713.txt-23-7	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
214	fic_2007_34112.txt-95-13	nf_1839_747920.txt-1978-13	afternoon	dwug_en			4.0	4.0			4.0	2
217	fic_2008_36241.txt-90-1	mag_1822_553391.txt-14-32	afternoon	dwug_en			4.0	4.0			4.0	2
219	fic_2008_36241.txt-90-1	news_2005_666450.txt-44-2	afternoon	dwug_en		3.0	4.0	4.0			4.0	3
222	fic_2008_36241.txt-90-1	nf_1854_750816.txt-2503-1	afternoon	dwug_en			4.0	4.0			4.0	2
225	mag_1855_556005.txt-194-2	mag_1964_312091.txt-0-4	afternoon	dwug_en	4.0		2.0	4.0			4.0	3
226	mag_1855_556005.txt-194-2	nf_1834_755185.txt-2925-9	afternoon	dwug_en					4.0	4.0	4.0	2
227	mag_1855_556005.txt-194-2	nf_1854_747477.txt-3338-37	afternoon	dwug_en	4.0	3.0					3.5	2
233	mag_1980_491790.txt-342-2	nf_1857_753133.txt-1759-5	afternoon	dwug_en					4.0	4.0	4.0	2
237	news_1971_729575.txt-35-24	nf_1849_762578.txt-1803-0	afternoon	dwug_en	4.0	4.0	4.0				4.0	3
239	nf_1849_749269.txt-111-33	nf_1857_753133.txt-1759-5	afternoon	dwug_en	4.0		4.0				4.0	2
240	nf_1849_749269.txt-547-35	nf_2006_776561.txt-30-8	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
241	nf_1849_762578.txt-1803-0	nf_1851_771607.txt-2494-73	afternoon	dwug_en	4.0		4.0				4.0	2
242	nf_1857_753133.txt-1759-5	nf_1970_774329.txt-642-27	afternoon	dwug_en	4.0	3.0					3.5	2
