lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
pin	fic_1853_2454.txt-536-44	mag_1996_427618.txt-346-18	2.0			fic_1994_54047.txt-260-5	3.0	mag_1968_478849.txt-47-13	4.0	['mag_1968_478849.txt-47-13', 'fic_1994_54047.txt-260-5', 'mag_1996_427618.txt-346-18']		3
pin	fic_1856_9852.txt-1992-15			mag_1970_282090.txt-31-0	2.0	fic_1843_7074.txt-1577-47	3.0	fic_1851_1184.txt-735-2	4.0	['fic_1851_1184.txt-735-2', 'fic_1843_7074.txt-1577-47', 'mag_1970_282090.txt-31-0']		3
pin	fic_1843_7074.txt-1808-25	nf_1849_748465.txt-436-4	4.0	fic_1857_9075.txt-657-20	3.0	fic_2005_29459.txt-113-10	2.0			['nf_1849_748465.txt-436-4', 'fic_1857_9075.txt-657-20', 'fic_2005_29459.txt-113-10']		3
pin	fic_1835_7309.txt-3622-1			fic_2005_780528.txt-1288-30	3.0	mag_1843_565253.txt-54-6	2.0	nf_1836_749613.txt-1827-7	4.0	['nf_1836_749613.txt-1827-7', 'fic_2005_780528.txt-1288-30', 'mag_1843_565253.txt-54-6']		3
pin	mag_1843_555150.txt-441-20	fic_1963_10432.txt-3514-3	4.0	fic_1845_7183.txt-670-31	3.0	fic_1994_54047.txt-260-5	2.0			['fic_1963_10432.txt-3514-3', 'fic_1845_7183.txt-670-31', 'fic_1994_54047.txt-260-5']		3
pin	fic_1822_7275.txt-189-74	fic_1825_7041.txt-1698-26	3.0	fic_1977_780095.txt-3445-29	4.0			fic_1970_10535.txt-192-2	2.0	['fic_1977_780095.txt-3445-29', 'fic_1825_7041.txt-1698-26', 'fic_1970_10535.txt-192-2']		3
pin	fic_1845_7183.txt-670-31	mag_1996_427618.txt-346-18	2.0			mag_1843_555150.txt-441-20	3.0	fic_1830_8912.txt-1018-26	4.0	['fic_1830_8912.txt-1018-26', 'mag_1843_555150.txt-441-20', 'mag_1996_427618.txt-346-18']		3
pin	fic_1834_7012.txt-2400-67	fic_1970_10536.txt-1861-17	3.0	fic_1989_24005.txt-246-8	4.0			fic_1853_9040.txt-3452-19	2.0	['fic_1989_24005.txt-246-8', 'fic_1970_10536.txt-1861-17', 'fic_1853_9040.txt-3452-19']		3
pin	fic_1853_9040.txt-3452-19	fic_1970_10535.txt-192-2	4.0			fic_1834_7012.txt-2400-67	2.0	news_1996_659277.txt-123-8	3.0	['fic_1970_10535.txt-192-2', 'news_1996_659277.txt-123-8', 'fic_1834_7012.txt-2400-67']		3
pin	fic_1843_7074.txt-1577-47	fic_1846_556.txt-1626-10	4.0	fic_1856_9852.txt-1992-15	3.0	fic_1834_7012.txt-2400-67	2.0			['fic_1846_556.txt-1626-10', 'fic_1856_9852.txt-1992-15', 'fic_1834_7012.txt-2400-67']		3
pin	fic_1858_9768.txt-4185-16	fic_1975_780112.txt-3849-5	3.0	fic_1971_782006.txt-2087-5	4.0	fic_1851_1184.txt-735-2	1.0	mag_1843_555150.txt-441-20	2.0	['fic_1971_782006.txt-2087-5', 'fic_1975_780112.txt-3849-5', 'mag_1843_555150.txt-441-20', 'fic_1851_1184.txt-735-2']		4
pin	fic_1839_7024.txt-2238-13	nf_1849_748465.txt-436-4	4.0			fic_1834_7012.txt-2400-67	3.0	fic_1856_1281.txt-4925-41	2.0	['nf_1849_748465.txt-436-4', 'fic_1834_7012.txt-2400-67', 'fic_1856_1281.txt-4925-41']		3
pin	mag_1843_565253.txt-54-6	fic_2004_29550.txt-193-10	3.0	fic_1835_7203.txt-1066-20	4.0	fic_1977_780095.txt-3445-29	2.0			['fic_1835_7203.txt-1066-20', 'fic_2004_29550.txt-193-10', 'fic_1977_780095.txt-3445-29']		3
pin	fic_1835_7203.txt-1066-20	nf_1972_774260.txt-1782-13	2.0	nf_1836_749613.txt-1827-7	3.0			nf_1849_747900.txt-1682-31	4.0	['nf_1849_747900.txt-1682-31', 'nf_1836_749613.txt-1827-7', 'nf_1972_774260.txt-1782-13']		3
pin	fic_1839_7068.txt-360-33	fic_2005_780528.txt-1288-30	4.0	fic_1855_2416.txt-209-5	1.0	fic_1851_746.txt-4622-94	3.0	mag_1970_282090.txt-31-0	2.0	['fic_2005_780528.txt-1288-30', 'fic_1851_746.txt-4622-94', 'mag_1970_282090.txt-31-0', 'fic_1855_2416.txt-209-5']		4
pin	fic_1855_2416.txt-209-5	mag_1996_427618.txt-346-18	2.0	fic_1839_7068.txt-360-33	1.0	mag_1978_292549.txt-8-5	3.0	fic_1835_7203.txt-1066-20	4.0	['fic_1835_7203.txt-1066-20', 'mag_1978_292549.txt-8-5', 'mag_1996_427618.txt-346-18', 'fic_1839_7068.txt-360-33']		4
pin	nf_1849_748465.txt-436-4			mag_1964_244708.txt-26-29	2.0	mag_1995_414325.txt-34-11	4.0	fic_1996_54473.txt-315-41	3.0	['mag_1995_414325.txt-34-11', 'fic_1996_54473.txt-315-41', 'mag_1964_244708.txt-26-29']		3
pin	nf_1836_749613.txt-1827-7	news_1974_731358.txt-31-11	3.0	fic_1845_7170.txt-5008-33	2.0	fic_1839_7068.txt-360-33	4.0	fic_1964_10443.txt-6921-46	1.0	['fic_1839_7068.txt-360-33', 'news_1974_731358.txt-31-11', 'fic_1845_7170.txt-5008-33', 'fic_1964_10443.txt-6921-46']		4
pin	fic_1854_3384.txt-477-11			fic_1964_10443.txt-6921-46	4.0	nf_1974_773897.txt-888-12	2.0	fic_1839_7068.txt-360-33	3.0	['fic_1964_10443.txt-6921-46', 'fic_1839_7068.txt-360-33', 'nf_1974_773897.txt-888-12']		3
pin	fic_1860_9791.txt-1411-15	fic_2007_33460.txt-91-42	1.0	mag_1996_427618.txt-346-18	4.0	nf_1846_748075.txt-1252-10	3.0	nf_1974_773897.txt-888-12	2.0	['mag_1996_427618.txt-346-18', 'nf_1846_748075.txt-1252-10', 'nf_1974_773897.txt-888-12', 'fic_2007_33460.txt-91-42']		4
pin	fic_1825_7041.txt-1698-26			fic_1854_2820.txt-324-38	4.0	fic_1854_3384.txt-477-11	3.0	fic_1987_10752.txt-1623-6	2.0	['fic_1854_2820.txt-324-38', 'fic_1854_3384.txt-477-11', 'fic_1987_10752.txt-1623-6']		3
pin	fic_1826_314.txt-1912-21	fic_1994_54077.txt-587-7	3.0	fic_2009_36905.txt-225-7	2.0			fic_1854_2820.txt-324-38	4.0	['fic_1854_2820.txt-324-38', 'fic_1994_54077.txt-587-7', 'fic_2009_36905.txt-225-7']		3
pin	mag_1858_506205.txt-390-11	news_1974_731358.txt-31-11	1.0	news_1996_659277.txt-123-8	2.0	fic_1835_7203.txt-1066-20	3.0	fic_2005_780528.txt-1288-30	4.0	['fic_2005_780528.txt-1288-30', 'fic_1835_7203.txt-1066-20', 'news_1996_659277.txt-123-8', 'news_1974_731358.txt-31-11']		4
pin	nf_1849_747900.txt-1682-31	fic_1968_16170.txt-1312-2	3.0			fic_1858_9768.txt-4185-16	4.0	mag_1843_555150.txt-441-20	2.0	['fic_1858_9768.txt-4185-16', 'fic_1968_16170.txt-1312-2', 'mag_1843_555150.txt-441-20']		3
pin	fic_1849_7230.txt-1784-23			fic_1975_780112.txt-3849-5	3.0	fic_1966_1008.txt-2519-23	4.0	fic_1989_782038.txt-5226-2	2.0	['fic_1966_1008.txt-2519-23', 'fic_1975_780112.txt-3849-5', 'fic_1989_782038.txt-5226-2']		3
pin	nf_1829_748045.txt-1520-16			mag_1843_555150.txt-441-20	2.0	news_2001_661932.txt-96-18	3.0	fic_1848_7005.txt-993-23	4.0	['fic_1848_7005.txt-993-23', 'news_2001_661932.txt-96-18', 'mag_1843_555150.txt-441-20']		3
pin	fic_1857_9075.txt-657-20	fic_1843_7074.txt-1808-25	3.0	fic_1978_780116.txt-1806-8	4.0			news_2001_661932.txt-96-18	2.0	['fic_1978_780116.txt-1806-8', 'fic_1843_7074.txt-1808-25', 'news_2001_661932.txt-96-18']		3
pin	fic_1849_7167.txt-2664-4	fic_1858_9768.txt-4185-16	2.0	fic_1977_16209.txt-884-5	4.0			mag_1968_478849.txt-47-13	3.0	['fic_1977_16209.txt-884-5', 'mag_1968_478849.txt-47-13', 'fic_1858_9768.txt-4185-16']		3
pin	fic_2004_29550.txt-193-10	fic_1977_16209.txt-884-5	2.0	fic_2001_29262.txt-63-3	3.0	mag_1990_387447.txt-197-14	4.0	mag_1970_282090.txt-31-0	1.0	['mag_1990_387447.txt-197-14', 'fic_2001_29262.txt-63-3', 'fic_1977_16209.txt-884-5', 'mag_1970_282090.txt-31-0']		4
pin	fic_1971_780008.txt-1358-26	fic_1843_7074.txt-1577-47	4.0	mag_1978_292549.txt-8-5	2.0			fic_1827_7270.txt-1517-9	3.0	['fic_1843_7074.txt-1577-47', 'fic_1827_7270.txt-1517-9', 'mag_1978_292549.txt-8-5']		3
pin	fic_1982_10690.txt-13596-4	fic_1964_10445.txt-3249-2	4.0	fic_1971_782006.txt-2087-5	2.0	fic_2008_36140.txt-123-7	3.0			['fic_1964_10445.txt-3249-2', 'fic_2008_36140.txt-123-7', 'fic_1971_782006.txt-2087-5']		3
pin	fic_1966_1008.txt-2519-23	fic_1858_9768.txt-4185-16	3.0	fic_1849_7230.txt-1784-23	4.0			mag_1999_361704.txt-0-20	2.0	['fic_1849_7230.txt-1784-23', 'fic_1858_9768.txt-4185-16', 'mag_1999_361704.txt-0-20']		3
pin	mag_1995_394841.txt-66-9	fic_1968_16170.txt-1312-2	1.0	fic_2005_780525.txt-1247-12	2.0	mag_1967_272727.txt-13-11	3.0	nf_1974_773897.txt-888-12	4.0	['nf_1974_773897.txt-888-12', 'mag_1967_272727.txt-13-11', 'fic_2005_780525.txt-1247-12', 'fic_1968_16170.txt-1312-2']		4
pin	fic_1994_54047.txt-260-5			fic_1963_10432.txt-3514-3	1.0	news_1974_731358.txt-31-11	2.0	fic_1856_1281.txt-4925-41	3.0	['fic_1856_1281.txt-4925-41', 'news_1974_731358.txt-31-11', 'fic_1963_10432.txt-3514-3']		3
pin	fic_1968_16170.txt-1312-2	mag_1996_427618.txt-346-18	2.0	fic_1849_7167.txt-2664-4	3.0	fic_1970_10523.txt-941-6	4.0	mag_1995_394841.txt-66-9	1.0	['fic_1970_10523.txt-941-6', 'fic_1849_7167.txt-2664-4', 'mag_1996_427618.txt-346-18', 'mag_1995_394841.txt-66-9']		4
pin	fic_1963_10432.txt-3514-3	fic_2009_36905.txt-225-7	4.0	fic_1825_7041.txt-1698-26	3.0	fic_1987_10752.txt-1623-6	1.0	fic_2005_29459.txt-113-10	2.0	['fic_2009_36905.txt-225-7', 'fic_1825_7041.txt-1698-26', 'fic_2005_29459.txt-113-10', 'fic_1987_10752.txt-1623-6']		4
pin	news_2001_661932.txt-96-18	fic_1988_10774.txt-4297-26	4.0	fic_1989_782038.txt-5226-2	3.0	fic_1966_1008.txt-2519-23	2.0	fic_2007_33460.txt-91-42	1.0	['fic_1988_10774.txt-4297-26', 'fic_1989_782038.txt-5226-2', 'fic_1966_1008.txt-2519-23', 'fic_2007_33460.txt-91-42']		4
pin	nf_1972_774260.txt-1782-13			fic_1822_7275.txt-189-74	2.0	fic_1825_7041.txt-1698-26	4.0	mag_1978_292549.txt-8-5	3.0	['fic_1825_7041.txt-1698-26', 'mag_1978_292549.txt-8-5', 'fic_1822_7275.txt-189-74']		3
pin	fic_2009_36905.txt-225-7	fic_1835_7203.txt-1066-20	2.0	fic_1845_7183.txt-670-31	3.0			fic_1963_10432.txt-3514-3	4.0	['fic_1963_10432.txt-3514-3', 'fic_1845_7183.txt-670-31', 'fic_1835_7203.txt-1066-20']		3
pin	fic_1965_780079.txt-2466-36	mag_1995_394841.txt-66-9	4.0	mag_1978_292549.txt-8-5	2.0			fic_1970_10523.txt-941-6	3.0	['mag_1995_394841.txt-66-9', 'fic_1970_10523.txt-941-6', 'mag_1978_292549.txt-8-5']		3
pin	fic_1983_10707.txt-5476-10	mag_1968_478849.txt-47-13	2.0	fic_1982_10687.txt-4879-4	4.0			fic_1970_10535.txt-192-2	3.0	['fic_1982_10687.txt-4879-4', 'fic_1970_10535.txt-192-2', 'mag_1968_478849.txt-47-13']		3
pin	fic_2008_36140.txt-123-7	mag_1968_478849.txt-47-13	2.0	nf_1849_747900.txt-1682-31	3.0	mag_1996_427618.txt-346-18	4.0			['mag_1996_427618.txt-346-18', 'nf_1849_747900.txt-1682-31', 'mag_1968_478849.txt-47-13']		3
pin	fic_2001_32481.txt-147-17	fic_1855_2416.txt-209-5	3.0	nf_1836_749613.txt-1827-7	4.0			fic_2004_30978.txt-92-15	2.0	['nf_1836_749613.txt-1827-7', 'fic_1855_2416.txt-209-5', 'fic_2004_30978.txt-92-15']		3
pin	nf_1974_773897.txt-888-12	mag_1967_272727.txt-13-11	2.0	fic_1987_10752.txt-1623-6	3.0			fic_2001_29262.txt-63-3	4.0	['fic_2001_29262.txt-63-3', 'fic_1987_10752.txt-1623-6', 'mag_1967_272727.txt-13-11']		3
pin	mag_1964_244708.txt-26-29	nf_1849_748465.txt-436-4	2.0	mag_1970_282090.txt-31-0	4.0	nf_1829_748045.txt-1520-16	3.0			['mag_1970_282090.txt-31-0', 'nf_1829_748045.txt-1520-16', 'nf_1849_748465.txt-436-4']		3
pin	mag_1967_272727.txt-13-11	fic_1970_10535.txt-192-2	3.0	fic_1843_8760.txt-59-8	1.0			mag_1978_292549.txt-8-5	2.0	['fic_1970_10535.txt-192-2', 'mag_1978_292549.txt-8-5', 'fic_1843_8760.txt-59-8']		3
pin	fic_1976_780103.txt-1101-12	fic_1970_10535.txt-192-2	4.0	fic_1835_7203.txt-1066-20	2.0	fic_1822_7275.txt-189-74	3.0			['fic_1970_10535.txt-192-2', 'fic_1822_7275.txt-189-74', 'fic_1835_7203.txt-1066-20']		3
pin	fic_1993_25002.txt-864-10			fic_1971_782006.txt-2087-5	3.0	mag_1843_555150.txt-441-20	2.0	nf_1849_747900.txt-1682-31	4.0	['nf_1849_747900.txt-1682-31', 'fic_1971_782006.txt-2087-5', 'mag_1843_555150.txt-441-20']		3
pin	fic_2007_33460.txt-91-42	fic_1990_53234.txt-384-1	2.0	fic_2009_36905.txt-225-7	3.0			fic_1860_9791.txt-1411-15	1.0	['fic_2009_36905.txt-225-7', 'fic_1990_53234.txt-384-1', 'fic_1860_9791.txt-1411-15']		3
pin	mag_1968_478849.txt-47-13	fic_1853_2454.txt-536-44	4.0	mag_1978_292549.txt-8-5	1.0	mag_1843_555150.txt-441-20	2.0	fic_2001_29262.txt-63-3	3.0	['fic_1853_2454.txt-536-44', 'fic_2001_29262.txt-63-3', 'mag_1843_555150.txt-441-20', 'mag_1978_292549.txt-8-5']		4
pin	fic_1970_10536.txt-1861-17			fic_1852_9832.txt-611-3	3.0	fic_2007_33460.txt-91-42	2.0	nf_1846_748075.txt-1252-10	4.0	['nf_1846_748075.txt-1252-10', 'fic_1852_9832.txt-611-3', 'fic_2007_33460.txt-91-42']		3
pin	fic_1999_30887.txt-153-10	fic_1987_10752.txt-1623-6	1.0	mag_1978_292549.txt-8-5	2.0	fic_2009_36992.txt-71-4	3.0	fic_1970_10536.txt-1861-17	4.0	['fic_1970_10536.txt-1861-17', 'fic_2009_36992.txt-71-4', 'mag_1978_292549.txt-8-5', 'fic_1987_10752.txt-1623-6']		4
pin	fic_1994_41224.txt-342-44	fic_1852_9232.txt-1003-2	1.0	nf_1994_746848.txt-3-22	4.0	fic_1994_54047.txt-260-5	2.0	mag_1978_292549.txt-8-5	3.0	['nf_1994_746848.txt-3-22', 'mag_1978_292549.txt-8-5', 'fic_1994_54047.txt-260-5', 'fic_1852_9232.txt-1003-2']		4
pin	mag_1996_427618.txt-346-18	fic_2008_36140.txt-123-7	4.0	fic_1975_780112.txt-3849-5	3.0	fic_1977_16209.txt-884-5	2.0			['fic_2008_36140.txt-123-7', 'fic_1975_780112.txt-3849-5', 'fic_1977_16209.txt-884-5']		3
pin	fic_1987_10752.txt-1623-6	fic_1854_2820.txt-324-38	2.0	mag_1964_244708.txt-26-29	3.0	fic_1999_30887.txt-153-10	1.0	mag_1978_292549.txt-8-5	4.0	['mag_1978_292549.txt-8-5', 'mag_1964_244708.txt-26-29', 'fic_1854_2820.txt-324-38', 'fic_1999_30887.txt-153-10']		4
pin	fic_2001_46318.txt-348-2	fic_2004_29550.txt-193-10	3.0	mag_1964_244708.txt-26-29	2.0	fic_1970_10523.txt-941-6	4.0			['fic_1970_10523.txt-941-6', 'fic_2004_29550.txt-193-10', 'mag_1964_244708.txt-26-29']		3
pin	fic_1982_10687.txt-4879-4			fic_1994_54077.txt-587-7	3.0	fic_1970_10535.txt-192-2	4.0	mag_1978_292549.txt-8-5	2.0	['fic_1970_10535.txt-192-2', 'fic_1994_54077.txt-587-7', 'mag_1978_292549.txt-8-5']		3
pin	news_1974_731358.txt-31-11	mag_1858_506205.txt-390-11	1.0	fic_1984_10714.txt-3436-9	3.0	fic_1987_10752.txt-1623-6	4.0	fic_1994_54047.txt-260-5	2.0	['fic_1987_10752.txt-1623-6', 'fic_1984_10714.txt-3436-9', 'fic_1994_54047.txt-260-5', 'mag_1858_506205.txt-390-11']		4
pin	fic_1971_782006.txt-2087-5	fic_1989_782038.txt-5226-2	1.0	fic_1843_7074.txt-3126-6	4.0	news_1996_659277.txt-123-8	2.0	news_2001_661932.txt-96-18	3.0	['fic_1843_7074.txt-3126-6', 'news_2001_661932.txt-96-18', 'news_1996_659277.txt-123-8', 'fic_1989_782038.txt-5226-2']		4
pin	fic_2001_29262.txt-63-3			mag_1967_272727.txt-13-11	2.0	fic_2004_29550.txt-193-10	3.0	nf_1974_773897.txt-888-12	4.0	['nf_1974_773897.txt-888-12', 'fic_2004_29550.txt-193-10', 'mag_1967_272727.txt-13-11']		3
pin	fic_1984_10714.txt-3436-9	news_2004_640232.txt-93-29	4.0	fic_1843_7208.txt-1264-13	3.0			nf_1836_749613.txt-1827-7	2.0	['news_2004_640232.txt-93-29', 'fic_1843_7208.txt-1264-13', 'nf_1836_749613.txt-1827-7']		3
pin	mag_1978_292549.txt-8-5	mag_1970_282090.txt-31-0	4.0	mag_1843_555150.txt-441-20	3.0	mag_1968_478849.txt-47-13	1.0	fic_2005_780528.txt-1288-30	2.0	['mag_1970_282090.txt-31-0', 'mag_1843_555150.txt-441-20', 'fic_2005_780528.txt-1288-30', 'mag_1968_478849.txt-47-13']		4
pin	mag_1970_282090.txt-31-0	mag_1964_244708.txt-26-29	4.0	fic_1982_10687.txt-4879-4	2.0	fic_1968_16170.txt-1312-2	3.0	fic_2004_29550.txt-193-10	1.0	['mag_1964_244708.txt-26-29', 'fic_1968_16170.txt-1312-2', 'fic_1982_10687.txt-4879-4', 'fic_2004_29550.txt-193-10']		4
pin	mag_2007_387691.txt-80-36	fic_1859_9037.txt-856-13	3.0	fic_1842_7206.txt-3523-6	4.0			nf_1974_773897.txt-888-12	2.0	['fic_1842_7206.txt-3523-6', 'fic_1859_9037.txt-856-13', 'nf_1974_773897.txt-888-12']		3
pin	fic_1989_782038.txt-5226-2	fic_1971_782006.txt-2087-5	1.0			fic_1966_1008.txt-2519-23	2.0	fic_1977_16209.txt-884-5	3.0	['fic_1977_16209.txt-884-5', 'fic_1966_1008.txt-2519-23', 'fic_1971_782006.txt-2087-5']		3
pin	news_1996_659277.txt-123-8	fic_1976_780103.txt-1101-12	2.0			fic_1994_41224.txt-342-44	3.0	mag_1843_565253.txt-54-6	4.0	['mag_1843_565253.txt-54-6', 'fic_1994_41224.txt-342-44', 'fic_1976_780103.txt-1101-12']		3
pin	fic_1964_10443.txt-6921-46	fic_1854_3384.txt-477-11	4.0	nf_1836_749613.txt-1827-7	1.0	fic_1971_780008.txt-1358-26	3.0			['fic_1854_3384.txt-477-11', 'fic_1971_780008.txt-1358-26', 'nf_1836_749613.txt-1827-7']		3
pin	nf_1994_746848.txt-3-22	nf_1855_750257.txt-928-13	3.0			mag_1996_427618.txt-346-18	4.0	fic_1858_9768.txt-4185-16	2.0	['mag_1996_427618.txt-346-18', 'nf_1855_750257.txt-928-13', 'fic_1858_9768.txt-4185-16']		3
pin	fic_1970_10523.txt-941-6			fic_1977_16209.txt-884-5	4.0	news_1974_731358.txt-31-11	3.0	mag_1843_555150.txt-441-20	2.0	['fic_1977_16209.txt-884-5', 'news_1974_731358.txt-31-11', 'mag_1843_555150.txt-441-20']		3
pin	fic_2004_30978.txt-92-15	fic_1826_314.txt-1912-21	4.0			fic_1970_10535.txt-192-2	3.0	fic_2001_32481.txt-147-17	2.0	['fic_1826_314.txt-1912-21', 'fic_1970_10535.txt-192-2', 'fic_2001_32481.txt-147-17']		3
pin	fic_1977_780095.txt-3445-29			mag_1843_565253.txt-54-6	2.0	fic_1822_7275.txt-189-74	4.0	nf_1836_749613.txt-1827-7	3.0	['fic_1822_7275.txt-189-74', 'nf_1836_749613.txt-1827-7', 'mag_1843_565253.txt-54-6']		3
pin	fic_1977_16209.txt-884-5	fic_1856_1281.txt-4925-41	3.0	mag_1843_555150.txt-441-20	4.0	mag_1996_427618.txt-346-18	2.0			['mag_1843_555150.txt-441-20', 'fic_1856_1281.txt-4925-41', 'mag_1996_427618.txt-346-18']		3
pin	fic_1970_10535.txt-192-2			fic_1835_7203.txt-1066-20	2.0	fic_2005_29459.txt-113-10	4.0	mag_1995_394841.txt-66-9	3.0	['fic_2005_29459.txt-113-10', 'mag_1995_394841.txt-66-9', 'fic_1835_7203.txt-1066-20']		3
pin	fic_2005_780528.txt-1288-30	mag_1996_427618.txt-346-18	2.0	mag_1858_506205.txt-390-11	4.0			fic_1835_7309.txt-3622-1	3.0	['mag_1858_506205.txt-390-11', 'fic_1835_7309.txt-3622-1', 'mag_1996_427618.txt-346-18']		3
