lemma	real_order	attacker_order
attack	['mag_1992_396000.txt-164-14', 'fic_1854_9193.txt-8301-13', 'mag_1828_553929.txt-364-34', 'mag_1970_282294.txt-7-3']	['mag_1992_396000.txt-164-14', 'mag_1970_282294.txt-7-3', 'mag_1828_553929.txt-364-34', 'fic_1854_9193.txt-8301-13']
attack	['fic_1838_7086.txt-2732-33', 'mag_1846_555400.txt-243-7', 'news_2001_661977.txt-17-13']	['fic_1838_7086.txt-2732-33', 'news_2001_661977.txt-17-13', 'mag_1846_555400.txt-243-7', 'missing_usage']
attack	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14', 'missing_usage']
attack	['nf_1836_749613.txt-2695-7', 'fic_2009_36778.txt-461-18', 'fic_1858_1282.txt-1444-24', 'mag_2007_387325.txt-12-20']	['nf_1836_749613.txt-2695-7', 'mag_2007_387325.txt-12-20', 'fic_1858_1282.txt-1444-24', 'fic_2009_36778.txt-461-18']
attack	['fic_1993_25035.txt-820-7', 'fic_2009_36778.txt-461-18', 'fic_1848_1279.txt-1511-47', 'fic_1835_7309.txt-3267-10']	['fic_1993_25035.txt-820-7', 'fic_1835_7309.txt-3267-10', 'fic_2009_36778.txt-461-18', 'fic_1848_1279.txt-1511-47']
attack	['fic_1827_9759.txt-3739-20', 'fic_1824_7211.txt-3045-8', 'fic_1844_3928.txt-3498-7']	['fic_1827_9759.txt-3739-20', 'fic_1844_3928.txt-3498-7', 'fic_1824_7211.txt-3045-8', 'missing_usage']
attack	['mag_1999_397639.txt-186-35', 'fic_1982_780051.txt-4396-7', 'fic_1838_7085.txt-2157-17']	['fic_1982_780051.txt-4396-7', 'mag_1999_397639.txt-186-35', 'fic_1838_7085.txt-2157-17', 'missing_usage']
attack	['news_1998_626765.txt-4-8', 'fic_1859_9037.txt-2260-41', 'fic_1998_43533.txt-4-2']	['fic_1859_9037.txt-2260-41', 'news_1998_626765.txt-4-8', 'fic_1998_43533.txt-4-2', 'missing_usage']
attack	['news_1967_726451.txt-39-2', 'mag_1994_425594.txt-9-10', 'fic_1848_1279.txt-1511-47']	['news_1967_726451.txt-39-2', 'mag_1994_425594.txt-9-10', 'fic_1848_1279.txt-1511-47', 'missing_usage']
attack	['fic_1839_7024.txt-2377-9', 'fic_2009_36778.txt-461-18', 'fic_1982_780070.txt-3698-5']	['fic_1839_7024.txt-2377-9', 'fic_1982_780070.txt-3698-5', 'fic_2009_36778.txt-461-18', 'missing_usage']
attack	['fic_1855_1209.txt-770-29', 'fic_1834_2652.txt-5065-36', 'fic_1982_780051.txt-4396-7']	['fic_1855_1209.txt-770-29', 'fic_1834_2652.txt-5065-36', 'fic_1982_780051.txt-4396-7', 'missing_usage']
attack	['mag_1854_555935.txt-131-30', 'mag_1828_553929.txt-364-34', 'fic_1833_7239.txt-1694-15']	['fic_1833_7239.txt-1694-15', 'mag_1854_555935.txt-131-30', 'mag_1828_553929.txt-364-34', 'missing_usage']
attack	['fic_1982_780051.txt-4396-7', 'fic_1858_1282.txt-1444-24', 'mag_2004_365334.txt-2-9']	['mag_2004_365334.txt-2-9', 'fic_1982_780051.txt-4396-7', 'fic_1858_1282.txt-1444-24', 'missing_usage']
attack	['news_1991_612479.txt-40-20', 'mag_1840_586558.txt-356-49', 'news_1994_606745.txt-26-26', 'nf_1829_751465.txt-2786-42']	['mag_1840_586558.txt-356-49', 'news_1991_612479.txt-40-20', 'news_1994_606745.txt-26-26', 'nf_1829_751465.txt-2786-42']
attack	['fic_1962_781986.txt-3553-2', 'mag_2001_416183.txt-158-8', 'mag_1972_278489.txt-11-19']	['mag_1972_278489.txt-11-19', 'mag_2001_416183.txt-158-8', 'fic_1962_781986.txt-3553-2', 'missing_usage']
attack	['fic_1839_7024.txt-2377-9', 'fic_1856_2470.txt-7252-13', 'mag_1840_586558.txt-356-49']	['fic_1839_7024.txt-2377-9', 'fic_1856_2470.txt-7252-13', 'mag_1840_586558.txt-356-49', 'missing_usage']
attack	['fic_1827_2832.txt-890-31', 'fic_1844_3928.txt-3118-8', 'mag_1828_553929.txt-364-34']	['fic_1827_2832.txt-890-31', 'fic_1844_3928.txt-3118-8', 'mag_1828_553929.txt-364-34', 'missing_usage']
attack	['fic_1839_7024.txt-2377-9', 'fic_1854_9193.txt-8301-13', 'fic_1853_9142.txt-2686-17']	['fic_1839_7024.txt-2377-9', 'fic_1853_9142.txt-2686-17', 'fic_1854_9193.txt-8301-13', 'missing_usage']
attack	['fic_1853_9142.txt-2686-17', 'fic_1858_1282.txt-1444-24', 'fic_1845_7170.txt-4861-9']	['fic_1853_9142.txt-2686-17', 'fic_1858_1282.txt-1444-24', 'fic_1845_7170.txt-4861-9', 'missing_usage']
attack	['fic_1853_9142.txt-2686-17', 'fic_1982_780070.txt-3698-5', 'fic_1858_1282.txt-1444-24']	['fic_1982_780070.txt-3698-5', 'fic_1858_1282.txt-1444-24', 'fic_1853_9142.txt-2686-17', 'missing_usage']
attack	['fic_1968_781997.txt-4233-2', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24']	['fic_1968_781997.txt-4233-2', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24', 'missing_usage']
attack	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1850_589167.txt-126-1']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1850_589167.txt-126-1', 'missing_usage']
attack	['fic_1859_9037.txt-2260-41', 'fic_1827_2832.txt-890-31', 'fic_1848_1279.txt-1511-47']	['fic_1859_9037.txt-2260-41', 'fic_1827_2832.txt-890-31', 'fic_1848_1279.txt-1511-47', 'missing_usage']
attack	['fic_2009_36778.txt-461-18', 'fic_1848_1279.txt-1511-47', 'mag_1846_524014.txt-303-22']	['mag_1846_524014.txt-303-22', 'fic_2009_36778.txt-461-18', 'fic_1848_1279.txt-1511-47', 'missing_usage']
attack	['fic_1968_781997.txt-4233-2', 'mag_1993_424232.txt-41-14', 'fic_1988_780054.txt-2791-11']	['fic_1968_781997.txt-4233-2', 'mag_1993_424232.txt-41-14', 'fic_1988_780054.txt-2791-11', 'missing_usage']
attack	['mag_2002_398773.txt-149-9', 'fic_1858_1282.txt-1444-24', 'mag_1828_553929.txt-364-34']	['mag_2002_398773.txt-149-9', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24', 'missing_usage']
attack	['fic_1853_9142.txt-2686-17', 'news_1997_611600.txt-65-2', 'mag_1828_553929.txt-364-34', 'nf_1847_754437.txt-1509-47']	['fic_1853_9142.txt-2686-17', 'nf_1847_754437.txt-1509-47', 'news_1997_611600.txt-65-2', 'mag_1828_553929.txt-364-34']
attack	['fic_1982_780051.txt-4396-7', 'nf_2001_746877.txt-82-18', 'fic_1845_7170.txt-4861-9', 'fic_1838_7085.txt-2157-17']	['fic_1982_780051.txt-4396-7', 'nf_2001_746877.txt-82-18', 'fic_1838_7085.txt-2157-17', 'fic_1845_7170.txt-4861-9']
attack	['mag_2007_387325.txt-12-20', 'fic_1858_1282.txt-1444-24', 'mag_1845_555245.txt-299-1', 'fic_1843_7166.txt-1590-9']	['mag_2007_387325.txt-12-20', 'fic_1858_1282.txt-1444-24', 'mag_1845_555245.txt-299-1', 'fic_1843_7166.txt-1590-9']
attack	['fic_1993_25035.txt-820-7', 'fic_1858_1282.txt-1444-24', 'fic_1848_1279.txt-1511-47']	['fic_1993_25035.txt-820-7', 'fic_1858_1282.txt-1444-24', 'fic_1848_1279.txt-1511-47', 'missing_usage']
